time,pelvis_gx,pelvis_gy,pelvis_gz,pelvis_ax,pelvis_ay,pelvis_az,tibia_r_gx,tibia_r_gy,tibia_r_gz,tibia_r_ax,tibia_r_ay,tibia_r_az,hip_flexion_r,knee_angle_r,ankle_angle_r
0.51666667,-3.368794597048601,-32.21461186621625,7.4714187049330345,1.066788853430746,-1.2713770171012704,-0.9565927652740672,-15.173800342470678,-24.054158726069012,49.88854469191641,-1142.3781497713853,146.1343235912627,-407.80525318090605,18.76601991,-13.62311761,1.37550884
0.53333333,-7.15377999178246,-30.24695170463004,-7.980090769036953,2.0576511769397245,-0.24933590026588545,1.3952514418993818,-23.906043919393174,5.389024969663738,4.900895986271763,79.34509335655324,-486.15454639923905,21.705482476709612,18.33081981,-8.0519051,1.37144403
0.55,-10.809490127813342,-23.258354638901082,-3.1165545735539224,-1.5053033978788222,0.1901519239386557,-0.7550276979888974,-54.09815170213194,-17.935796462239093,13.092100648597356,-238.0450924142389,658.7046456017894,-460.78942586603233,17.93268047,-3.43318367,1.60485816
0.56666667,-36.138036559026816,3.0078209323588334,5.55991003496148,-2.5270940216746163,1.6742173393744757,-1.760653408522461,-8.603272284568083,-7.53468108150931,-16.532038099289355,187.3673205204206,-158.51190787363103,-1295.6311102657926,17.89830087,-0.46903632,2.11041801
0.58333333,-2.0923083949498915,1.0270877718843259,0.9654011377600725,8.187188725123764,2.7440989023602027,5.9984256006295285,-31.502131736511945,-30.31651580392852,11.319861274947357,16.873230327003228,47.41077655696721,1323.4531313197763,18.05693439,1.00748759,2.44038943
0.6,-1.7118785529304081,21.68715647309198,1.0462136986117716,-0.22827590868917738,1.3551114579547223,1.7970832811666295,-31.082694026970852,-37.057111886398616,31.768590450653882,-214.39438921497307,155.63276152849338,-180.05084177864197,18.28551005,0.90639178,2.64597063
0.61666667,-14.306061538743654,17.897280172601985,11.800084035289991,1.2645010116002895,2.8401502721202196,0.05850004680002375,-31.39696971827678,18.611614458358115,7.484975093356372,-77.32906858397655,310.59280554103293,-475.9966827266519,18.91779529,-0.79062687,2.37710844
0.63333333,-5.607672366883464,22.534658128566143,9.012663649711259,1.9208872316451522,0.9267836292863036,2.1731391307442585,0.3470298087232117,42.219328884003964,-15.11986749257696,-652.5355081585449,87.43625185826103,-58.234070099512195,19.59870194,-3.50740749,1.72225687
0.65,-3.969646669002352,15.812532246416662,9.124496843641618,1.658663336534854,2.5481869807253807,-1.730627307749004,34.55148354380708,28.531288985981806,3.9567495281479155,32.83052121439444,-426.7131121414561,222.36528152323217,20.39608596,-6.6871124,0.70783355
0.66666667,1.5109242020679197,6.894157066650302,11.151236816816242,-0.9988567990855116,2.629766103812581,1.152432921946155,53.6833201515782,-27.41504113361099,-33.30081644452923,103.62949927516698,-421.4419563508502,-197.56804124618455,21.06104747,-9.85254225,-0.39671428
0.68333333,12.243919288575905,20.38228171129,32.604819264983846,6.12852954858777,3.93987442404964,-1.402991438803368,48.471447626463046,-48.370959640458835,-49.33086841645333,-229.08433009451883,-976.4940671036379,641.4718726079508,21.66324254,-13.41070107,-0.99405982
